"Name","Team","G","PA","H","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","wRC+","Fld","BsR","WAR","playerid"
"Babe Ruth","- - -","2503","10616","2873","714","2174","2217","123","19.4 %","12.5 %",".348",".340",".342",".474",".690",".510","197","79.0","","177.7","1011327"
"Barry Bonds","- - -","2976","12606","2935","762","2227","1996","514","20.3 %","12.2 %",".309",".285",".298",".444",".607",".439","175","188.3","-15.8","168.2","1109"
"Ty Cobb","- - -","3035","13072","4189","117","2246","1937","892","9.6 %","4.1 %",".146",".378",".366",".433",".512",".451","171","0.0","","163.9","1002378"
"Willie Mays","- - -","2992","12493","3283","660","2062","1903","338","11.7 %","12.2 %",".256",".299",".302",".384",".557",".413","157","185.0","","163.2","1008315"
"Hank Aaron","- - -","3298","13940","3771","755","2174","2297","240","10.1 %","9.9 %",".250",".291",".305",".374",".555",".405","154","98.0","","150.5","1000001"
"Honus Wagner","- - -","2792","11739","3415","101","1736","1732","722","8.2 %","7.6 %",".139",".318",".327",".391",".466",".414","152","85.0","","149.8","1013485"
"Tris Speaker","- - -","2789","11988","3514","117","1882","1529","432","11.5 %","2.3 %",".156",".350",".345",".428",".500",".436","158","92.0","","142.6","1012309"
"Ted Williams","Red Sox","2292","9791","2654","521","1798","1839","24","20.6 %","7.2 %",".289",".328",".344",".482",".634",".493","189","-29.0","","139.8","1014040"
"Stan Musial","Cardinals","3026","12712","3630","475","1949","1951","78","12.6 %","5.5 %",".228",".320",".331",".417",".559",".436","158","52.0","","139.3","1009405"
"Rogers Hornsby","- - -","2259","9475","2930","301","1579","1584","135","11.0 %","7.2 %",".218",".365",".358",".434",".577",".459","171","54.0","","134.9","1006030"
"Eddie Collins","- - -","2826","12037","3315","47","1821","1300","744","12.5 %","3.2 %",".096",".343",".333",".424",".429",".414","149","35.0","","134.2","1002451"
"Lou Gehrig","Yankees","2164","9660","2721","493","1888","1995","102","15.6 %","8.2 %",".292",".332",".340",".447",".632",".474","174","2.0","","125.9","1004598"
"Mickey Mantle","Yankees","2401","9909","2415","536","1677","1509","153","17.5 %","17.3 %",".259",".318",".298",".421",".557",".431","171","-44.0","","123.1","1008082"
"Frank Robinson","- - -","2808","11743","2943","586","1829","1812","204","12.1 %","13.0 %",".243",".295",".294",".389",".537",".406","155","25.0","","116.3","1011066"
"Mel Ott","Giants","2730","11337","2876","511","1859","1860","89","15.1 %","7.9 %",".229",".294",".304",".414",".533",".432","155","50.0","","116.1","1009904"
"Rickey Henderson","- - -","3068","13346","3055","297","2295","1115","1406","16.4 %","12.7 %",".140",".305",".279",".401",".419",".386","141","62.9","0.0","114.1","194"
"Alex Rodriguez","- - -","2397","10634","2775","629","1824","1893","305","11.0 %","18.0 %",".265",".318",".302",".386",".567",".407","148","27.6","10.1","112.5","1274"
"Jimmie Foxx","- - -","2317","9670","2646","534","1751","1922","87","15.0 %","13.6 %",".284",".336",".325",".428",".609",".458","159","23.0","","112.3","1004285"
"Mike Schmidt","Phillies","2400","10062","2234","548","1506","1595","174","15.0 %","18.7 %",".260",".280",".267",".380",".527",".395","146","127.0","","110.6","1011586"
"Carl Yastrzemski","Red Sox","3306","13991","3419","452","1816","1844","168","13.2 %","10.0 %",".177",".290",".285",".379",".462",".374","130","185.0","","108.7","1014326"
"Nap Lajoie","- - -","2480","10460","3242","83","1504","1599","380","4.9 %","4.0 %",".128",".295",".338",".380",".467",".399","143","83.0","","108.2","1007259"
"Joe Morgan","- - -","2645","11329","2517","268","1650","1133","689","16.5 %","9.0 %",".156",".278",".271",".392",".427",".382","141","-47.0","","108.0","1009179"
"Eddie Mathews","- - -","2391","10101","2315","512","1509","1453","68","14.3 %","14.7 %",".238",".273",".271",".376",".509",".390","143","33.0","","107.2","1008236"
"Al Kaline","Tigers","2834","11597","3007","399","1622","1583","137","11.0 %","8.8 %",".182",".296",".297",".376",".480",".379","134","156.0","","101.9","1006678"
"Cal Ripken","Orioles","2998","12883","3184","431","1647","1695","36","8.8 %","10.1 %",".172",".277",".276",".340",".447",".345","111","181.0","","99.7","1010978"
"Wade Boggs","- - -","2437","10740","3010","118","1513","1013","24","13.1 %","6.9 %",".115",".344",".328",".415",".443",".380","131","105.0","","94.8","1001124"
"Brooks Robinson","Orioles","2884","11782","2848","268","1232","1357","28","7.3 %","8.4 %",".133",".271",".267",".322",".401",".322","105","294.0","","94.6","1011055"
"Joe DiMaggio","Yankees","1736","7671","2214","361","1390","1537","30","10.3 %","4.8 %",".254",".304",".325",".398",".579",".439","153","49.0","","92.0","1003311"
"George Brett","Royals","2702","11625","3154","317","1583","1596","201","9.4 %","7.8 %",".183",".307",".305",".369",".487",".374","133","47.0","","91.6","1001400"
"Pete Rose","- - -","3557","15876","4256","160","2165","1314","198","9.9 %","7.2 %",".106",".319",".303",".375",".409",".353","120","-56.0","","91.5","1011217"
"Roberto Clemente","Pirates","2433","10212","3000","240","1416","1305","83","6.1 %","12.0 %",".158",".343",".317",".359",".475",".366","129","204.0","","91.3","1002340"
"Cap Anson","- - -","2523","11319","3418","97","1996","2076","276","8.7 %","2.8 %",".112",".339",".333",".393",".445",".389","131","59.0","","88.7","1000272"
"Charlie Gehringer","Tigers","2323","10237","2839","184","1774","1427","181","11.6 %","3.6 %",".160",".320",".320",".404",".480",".404","124","34.0","","88.1","1004596"
"Albert Pujols","Cardinals","1704","7433","2073","445","1291","1329","84","13.1 %","9.5 %",".288",".311",".328",".420",".617",".430","167","64.9","17.3","87.8","1177"
"Chipper Jones","Braves","2385","10166","2615","454","1561","1561","149","14.3 %","13.4 %",".228",".314",".304",".402",".533",".399","143","-41.6","-4.3","87.5","97"
"George Davis","- - -","2368","10151","2660","73","1539","1437","616","8.6 %","4.4 %",".110",".313",".295",".361",".405",".370","120","146.0","","86.4","1003049"
"Roger Connor","- - -","1997","8837","2467","138","1620","1322","244","11.3 %","5.1 %",".169",".324",".317",".397",".486",".404","141","82.0","","86.3","1002537"
"Luke Appling","White Sox","2422","10243","2749","45","1319","1116","179","12.7 %","5.2 %",".088",".326",".310",".399",".398",".376","116","41.0","","84.7","1000284"
"Jeff Bagwell","Astros","2148","9431","2314","449","1517","1529","202","14.9 %","16.5 %",".244",".317",".297",".408",".540",".406","149","59.1","0.6","83.9","547"
"Ken Griffey Jr.","- - -","2668","11304","2781","630","1662","1836","184","11.6 %","15.7 %",".254",".287",".284",".370",".538",".385","133","-39.1","-17.0","83.9","327"
"Johnny Bench","Reds","2152","8673","2048","389","1091","1376","68","10.3 %","14.7 %",".208",".273",".267",".342",".476",".361","125","71.0","","81.6","1000826"
"Fred Clarke","- - -","2242","9819","2672","67","1619","1015","506","8.9 %","5.4 %",".117",".320",".312",".386",".429",".392","135","91.0","","81.6","1002280"
"Reggie Jackson","- - -","2820","11416","2584","563","1551","1702","228","12.0 %","22.7 %",".228",".298",".262",".356",".490",".375","139","-25.0","","81.4","1006308"
"Rod Carew","- - -","2465","10550","3053","92","1424","1015","353","9.6 %","9.7 %",".101",".359",".328",".393",".429",".370","132","16.0","","80.4","1001942"
"Dan Brouthers","- - -","1673","7658","2296","106","1523","1296","256","11.0 %","3.1 %",".177",".344",".342",".423",".519",".432","156","-14.0","","80.1","1001486"
"Bill Dahlen","- - -","2443","10390","2457","84","1589","1233","547","10.2 %","7.6 %",".110",".317",".272",".358",".382",".360","109","139.0","","80.0","1002924"
"Ron Santo","- - -","2242","9397","2254","342","1138","1331","35","11.8 %","14.3 %",".187",".292",".277",".362",".464",".366","125","22.0","","79.3","1011447"
"Paul Waner","- - -","2549","10762","3152","113","1627","1309","104","10.1 %","3.5 %",".140",".339",".333",".404",".473",".405","135","23.0","","79.2","1013597"
"Eddie Murray","- - -","3021","12817","3255","504","1627","1917","110","10.4 %","11.8 %",".189",".291",".287",".359",".476",".365","128","61.0","","78.8","1009386"
"Frankie Frisch","- - -","2311","10100","2880","105","1532","1244","419","7.2 %","2.7 %",".116",".318",".316",".369",".432",".377","115","140.0","","78.8","1004364"
"Al Simmons","- - -","2215","9515","2927","307","1507","1827","88","6.5 %","7.7 %",".201",".340",".334",".380",".535",".409","132","67.0","","78.5","1011978"
"Harmon Killebrew","- - -","2435","9831","2086","573","1283","1584","19","15.9 %","17.3 %",".252",".254",".256",".376",".509",".389","142","-79.0","","78.4","1006905"
"Harry Heilmann","- - -","2148","8960","2660","183","1291","1539","113","9.6 %","6.1 %",".179",".351",".342",".410",".520",".426","144","-44.0","","78.1","1005590"
"Sam Crawford","- - -","2517","10594","2961","97","1391","1525","366","7.2 %","4.1 %",".143",".307",".309",".362",".452",".384","138","-36.0","","76.5","1002748"
"Frank Thomas","- - -","2322","10075","2468","521","1494","1704","32","16.5 %","13.9 %",".254",".304",".301",".419",".555",".416","154","-68.2","-29.5","76.2","255"
"Willie McCovey","- - -","2588","9691","2211","521","1229","1555","26","13.9 %","16.0 %",".245",".273",".270",".374",".515",".388","145","-78.0","","75.8","1008423"
"Joe Cronin","- - -","2124","8838","2285","170","1233","1424","87","12.0 %","7.9 %",".166",".315",".301",".390",".468",".391","120","28.0","","75.4","1002796"
"Paul Molitor","- - -","2682","12167","3319","234","1782","1307","504","9.0 %","10.2 %",".142",".326",".306",".369",".448",".366","125","7.0","","75.3","1009040"
"Derek Jeter","Yankees","2425","11155","3088","240","1769","1196","339","8.9 %","14.8 %",".136",".355",".313",".383",".449",".369","124","-119.9","17.3","74.4","826"
"Carlton Fisk","- - -","2477","9853","2356","376","1276","1330","128","8.6 %","14.1 %",".188",".280",".269",".341",".457",".354","118","27.0","","74.4","1004101"
"Lou Whitaker","Tigers","2363","9967","2369","244","1386","1084","143","12.0 %","11.0 %",".150",".290",".276",".363",".426",".352","117","77.0","","74.3","1013846"
"Arky Vaughan","- - -","1817","7721","2103","96","1173","926","118","12.1 %","3.6 %",".136",".321",".318",".406",".453",".402","139","21.0","","74.3","1013377"
"Rafael Palmeiro","- - -","2822","12046","3020","569","1663","1835","97","11.2 %","11.2 %",".226",".283",".288",".371",".515",".380","130","46.1","-12.8","74.2","1266"
"Bobby Grich","- - -","2003","8220","1833","224","1033","864","104","13.2 %","15.5 %",".158",".296",".266",".371",".424",".359","128","83.0","","74.1","1005033"
"Sherry Magee","- - -","2087","8546","2169","83","1112","1176","441","8.6 %","7.0 %",".135",".308",".291",".364",".427",".385","138","25.0","","74.1","1007965"
"Ernie Banks","Cubs","2528","10395","2583","512","1305","1636","50","7.3 %","11.9 %",".225",".267",".274",".330",".500",".358","117","54.0","","74.1","1000512"
"Robin Yount","Brewers","2847","12249","3142","251","1632","1406","271","7.9 %","11.0 %",".144",".303",".285",".342",".430",".344","115","-47.0","","74.1","1014396"
"Ivan Rodriguez","- - -","2525","10270","2844","311","1354","1332","127","5.0 %","14.4 %",".168",".321",".296",".334",".464",".343","104","165.2","-3.8","74.1","1275"
"Scott Rolen","- - -","1946","8188","2005","308","1185","1248","116","10.6 %","16.5 %",".212",".306",".282",".366",".494",".370","123","160.5","10.4","73.9","970"
"Larry Walker","- - -","1970","8030","2160","383","1355","1311","230","11.4 %","15.3 %",".252",".332",".313",".400",".565",".414","142","86.1","10.5","73.2","455"
"Jesse Burkett","- - -","2066","9605","2850","75","1720","952","389","10.7 %","6.0 %",".108",".367",".338",".415",".446",".409","140","-4.0","","72.8","1001682"
"Gary Carter","- - -","2283","9019","2092","324","1025","1225","39","9.4 %","11.1 %",".176",".262",".262",".335",".439",".341","114","112.0","","72.5","1002015"
"Goose Goslin","- - -","2287","9822","2735","248","1483","1609","175","9.7 %","6.0 %",".184",".318",".316",".387",".500",".402","127","50.0","","71.9","1004893"
"Graig Nettles","- - -","2685","10227","2225","390","1193","1314","32","10.6 %","11.8 %",".173",".245",".248",".329",".421",".336","111","141.0","","71.8","1009517"
"Johnny Mize","- - -","1884","7371","2011","359","1118","1337","28","11.6 %","7.1 %",".250",".297",".312",".397",".562",".433","155","18.0","","71.8","1009014"
"Reggie Smith","- - -","1982","8050","2020","314","1123","1092","137","11.1 %","12.8 %",".202",".295",".287",".366",".489",".378","136","80.0","","71.8","1012201"
