"Name","Team","G","PA","H","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","wRC+","Fld","BsR","WAR","playerid"
"Rickey Henderson","- - -","1987","8886","2139","220","1586","784","1095","15.8 %","11.1 %",".153",".310",".291",".406",".443",".401","154","105.0","","97.6","194"
"Mike Schmidt","Phillies","1775","7514","1702","417","1148","1222","100","15.1 %","16.8 %",".264",".277",".273",".384",".537",".397","148","78.0","","80.6","1011586"
"Wade Boggs","- - -","1766","7967","2267","87","1150","745","16","13.5 %","6.5 %",".119",".350",".335",".424",".454",".388","138","93.0","","79.4","1001124"
"Cal Ripken","Orioles","1959","8525","2087","297","1130","1104","33","9.6 %","10.0 %",".179",".275",".275",".345",".455",".351","119","139.0","","78.8","1010978"
"George Brett","Royals","2240","9696","2610","297","1354","1392","159","10.1 %","8.0 %",".195",".304",".304",".374",".500",".379","136","40.0","","78.1","1001400"
"Eddie Murray","- - -","2593","11048","2820","441","1420","1662","92","10.7 %","11.6 %",".193",".293",".290",".364",".483",".371","133","58.0","","77.2","1009386"
"Robin Yount","Brewers","2434","10588","2746","238","1458","1274","236","8.3 %","11.0 %",".155",".307",".290",".350",".445",".353","120","-26.0","","71.5","1014396"
"Lou Whitaker","Tigers","2189","9310","2199","218","1283","997","137","12.1 %","10.9 %",".146",".289",".275",".362",".421",".350","117","85.0","","70.6","1013846"
"Alan Trammell","Tigers","2055","8603","2182","174","1149","936","224","9.3 %","9.2 %",".133",".300",".288",".355",".421",".347","115","87.0","","69.9","1013157"
"Ozzie Smith","- - -","2337","9902","2265","23","1154","734","563","10.0 %","5.5 %",".065",".276",".262",".338",".328",".313","96","223.0","","67.4","1012186"
"Paul Molitor","- - -","2015","9168","2492","182","1396","901","434","9.1 %","10.4 %",".143",".326",".306",".370",".449",".369","131","10.0","","67.3","1009040"
"Gary Carter","- - -","2041","8053","1877","300","931","1113","32","9.3 %","10.8 %",".182",".261",".263",".335",".445",".342","116","97.0","","66.8","1002015"
"Andre Dawson","- - -","2405","10063","2610","412","1294","1485","311","5.6 %","13.8 %",".204",".290",".282",".326",".486",".355","121","84.0","","64.2","1003091"
"Tim Raines","- - -","1817","7998","2050","124","1213","710","750","12.5 %","8.9 %",".131",".316",".298",".387",".429",".379","140","19.0","","63.8","1406"
"Willie Randolph","- - -","2029","8892","2085","53","1171","644","233","13.2 %","7.1 %",".077",".294",".277",".375",".354",".338","112","95.0","","63.4","1010694"
"Barry Bonds","- - -","1161","4929","1165","222","801","679","280","15.0 %","13.6 %",".244",".288",".283",".391",".526",".400","154","138.0","","60.1","1109"
"Dwight Evans","- - -","2054","8622","2004","334","1240","1158","60","13.9 %","16.3 %",".205",".298",".275",".378",".481",".380","133","6.0","","58.6","1003865"
"Keith Hernandez","- - -","1866","7877","2017","152","1047","1003","94","12.7 %","11.7 %",".141",".323",".298",".387",".439",".366","130","110.0","","57.7","1005706"
"Ryne Sandberg","- - -","1817","7934","2080","240","1143","881","323","8.3 %","12.7 %",".167",".308",".290",".349",".457",".361","122","36.0","","57.7","1011411"
"Dave Winfield","- - -","2362","10044","2568","402","1402","1554","162","9.8 %","13.3 %",".202",".297",".287",".356",".488",".370","133","-97.0","","57.6","1014127"
"Chet Lemon","- - -","1841","7338","1755","211","925","845","44","9.8 %","13.0 %",".176",".293",".275",".359",".451",".357","123","103.0","","57.2","1007518"
"Jack Clark","- - -","1953","8096","1799","338","1101","1168","70","15.5 %","17.6 %",".210",".289",".267",".380",".478",".377","137","-27.0","","53.3","1002288"
"Carlton Fisk","- - -","1932","7660","1815","288","971","1056","95","8.5 %","13.9 %",".183",".277",".267",".338",".450",".348","114","13.0","","52.5","1004101"
"Buddy Bell","- - -","1682","7064","1795","154","824","846","33","8.8 %","7.8 %",".137",".289",".284",".347",".421",".339","110","133.0","","51.1","1000799"
"Jim Rice","Red Sox","1766","7746","2096","334","1076","1251","40","7.8 %","15.1 %",".207",".315",".299",".356",".506",".377","130","23.0","","50.4","1010897"
"Tony Gwynn","Padres","1583","6828","2039","66","912","650","263","7.9 %","4.5 %",".108",".337",".329",".382",".438",".362","129","69.0","","49.3","1005166"
"Brian Downing","- - -","1950","7993","1838","253","1046","960","30","12.8 %","11.4 %",".168",".281",".272",".375",".440",".364","128","-21.0","","47.6","1003451"
"Lance Parrish","- - -","1849","7448","1712","317","831","1032","27","7.8 %","19.4 %",".192",".276",".253",".313",".445",".332","105","37.0","","47.3","1010021"
"Dale Murphy","- - -","2156","8969","2094","398","1194","1257","161","10.9 %","19.4 %",".205",".292",".265",".346",".470",".358","120","-29.0","","47.2","1009355"
"Kirby Puckett","Twins","1536","6747","1996","164","909","874","125","5.4 %","12.3 %",".150",".344",".318",".358",".469",".363","121","-12.0","","43.8","1010557"
"Willie Wilson","- - -","2067","8288","2201","41","1164","585","665","5.1 %","13.7 %",".090",".329",".286",".327",".376",".328","102","111.0","","43.8","1014113"
"Don Mattingly","Yankees","1549","6779","1908","209","886","999","14","7.2 %","5.7 %",".170",".300",".309",".357",".479",".363","127","35.0","","43.4","1008261"
"Jesse Barfield","- - -","1411","5394","1219","241","715","716","66","10.2 %","22.9 %",".210",".295",".256",".335",".466",".351","116","162.0","","42.6","1000537"
"Jose Cruz","- - -","1652","6663","1739","126","787","839","254","9.5 %","11.4 %",".139",".314",".292",".357",".431",".348","124","63.0","","42.5","1002841"
"Brett Butler","- - -","1805","7907","1958","45","1128","481","476","11.9 %","9.4 %",".087",".317",".289",".377",".376",".345","116","-39.0","","42.2","1001772"
"Andy Van Slyke","- - -","1438","5749","1408","152","762","738","231","10.1 %","16.3 %",".176",".312",".278",".352",".455",".361","128","25.0","","42.1","1013363"
"Kent Hrbek","Twins","1654","6820","1675","283","869","1033","37","11.7 %","11.3 %",".200",".283",".283",".368",".483",".372","127","25.0","","42.1","1006117"
"Doug DeCinces","- - -","1439","5855","1358","222","720","811","50","9.8 %","13.6 %",".194",".269",".262",".334",".456",".346","116","55.0","","41.7","1003123"
"Fred Lynn","- - -","1661","6701","1608","273","879","931","48","11.1 %","14.2 %",".201",".285",".275",".355",".476",".365","124","-34.0","","41.5","1007872"
"Darryl Strawberry","- - -","1317","5434","1210","290","780","869","205","12.7 %","20.9 %",".248",".280",".259",".356",".508",".375","140","-3.0","","40.2","1012606"
"Carney Lansford","- - -","1850","7905","2074","151","1007","874","224","7.0 %","9.1 %",".121",".302",".290",".343",".411",".337","112","-47.0","","39.1","1007331"
"Darrell Evans","- - -","1828","7236","1511","284","880","933","61","14.4 %","12.7 %",".184",".248",".248",".356",".432",".348","119","6.0","","39.1","1003864"
"Bobby Grich","Angels","1217","4876","1103","154","601","557","27","12.9 %","15.5 %",".167",".295",".269",".370",".436",".360","125","11.0","","38.8","1005033"
"Pedro Guerrero","- - -","1533","6115","1618","215","730","898","97","10.0 %","14.1 %",".180",".320",".300",".370",".480",".371","137","-69.0","","37.9","1005120"
"Tony Fernandez","- - -","1460","6230","1612","53","740","543","202","7.3 %","8.4 %",".105",".305",".285",".339",".390",".327","101","44.0","","37.9","1004002"
"Kirk Gibson","- - -","1464","6009","1403","223","877","763","271","10.7 %","19.2 %",".191",".302",".268",".351",".459",".362","127","2.0","","37.4","1004669"
"Lonnie Smith","- - -","1565","5880","1476","98","896","531","369","10.4 %","14.1 %",".133",".326",".289",".372",".422",".362","126","27.0","","37.4","1012176"
"Tim Wallach","- - -","1890","7696","1800","216","779","967","50","7.1 %","14.0 %",".156",".274",".257",".314",".413",".318","100","79.0","","37.1","1013554"
"Julio Franco","- - -","1542","6603","1784","100","892","763","229","8.5 %","11.1 %",".112",".326",".300",".360",".412",".347","114","-47.0","","36.6","87"
"Lenny Dykstra","- - -","1066","4440","1110","71","676","349","257","11.6 %","9.1 %",".134",".305",".288",".373",".421",".364","129","30.0","","35.8","1003619"
"Dwayne Murphy","- - -","1326","5242","1069","166","648","609","100","14.3 %","18.2 %",".156",".276",".246",".356",".402",".342","116","52.0","","35.7","1009359"
"Fred McGriff","- - -","1030","4236","1001","228","622","616","38","14.8 %","19.9 %",".250",".307",".281",".389",".531",".400","151","-5.0","","35.4","293"
"Will Clark","Giants","1160","4878","1278","176","687","709","52","10.4 %","15.3 %",".199",".323",".299",".373",".499",".376","141","-2.0","","34.9","1002318"
"Tony Phillips","- - -","1404","5789","1297","75","765","507","113","13.2 %","14.9 %",".105",".306",".265",".364",".370",".335","109","42.0","","34.8","1010300"
"Ron Cey","- - -","1440","5767","1284","234","685","778","17","11.9 %","16.1 %",".194",".272",".258",".350",".452",".354","120","-24.0","","34.7","1002108"
"Harold Baines","- - -","1953","7966","2060","261","929","1144","30","8.8 %","13.4 %",".172",".304",".288",".349",".460",".352","119","-13.0","","34.6","1000434"
"George Foster","- - -","1359","5625","1379","269","724","915","20","9.0 %","18.3 %",".213",".293",".274",".341",".487",".362","127","8.0","","34.1","1004250"
"Frank White","Royals","1895","7284","1752","150","791","781","141","4.9 %","12.3 %",".134",".277",".259",".297",".393",".306","88","105.0","","33.9","1013872"
"Cecil Cooper","Brewers","1490","6492","1815","201","821","944","77","5.7 %","11.1 %",".168",".313",".302",".339",".470",".355","122","8.0","","33.8","1002592"
"Jim Sundberg","- - -","1480","5414","1206","83","498","518","15","10.1 %","14.1 %",".107",".286",".255",".332",".362",".313","93","82.0","","33.8","1012724"
"Dave Parker","- - -","2050","8632","2270","293","1071","1259","123","7.0 %","14.9 %",".180",".309",".287",".338",".467",".348","116","-34.0","","33.3","1010000"
"Barry Larkin","Reds","931","3923","1045","78","535","419","162","8.3 %","8.3 %",".134",".308",".298",".359",".432",".359","123","27.0","","33.0","335"
"Darrell Porter","- - -","1228","4561","978","134","541","600","20","14.1 %","14.8 %",".169",".275",".255",".363",".424",".348","116","15.0","","32.9","1010450"
"Toby Harrah","- - -","1306","5441","1195","126","731","581","156","14.6 %","10.0 %",".141",".276",".265",".379",".406",".360","122","-61.0","","32.6","1005384"
"Devon White","- - -","1042","4508","1054","108","661","413","227","6.7 %","19.3 %",".150",".300",".256",".310",".406",".326","101","135.0","","32.2","1013862"
"Gary Gaetti","- - -","1734","6948","1604","245","785","922","83","6.2 %","16.5 %",".173",".269",".252",".303",".425",".320","93","97.0","","31.9","1004422"
"Bill Doran","- - -","1443","5922","1366","84","727","497","209","12.0 %","10.1 %",".107",".286",".266",".354",".373",".330","110","-8.0","","31.4","1003406"
"Rod Carew","- - -","1137","4915","1395","37","687","452","132","11.2 %","8.7 %",".096",".355",".327",".403",".424",".368","130","12.0","","31.4","1001942"
"Jose Canseco","- - -","1030","4429","1033","245","644","780","134","10.1 %","23.9 %",".241",".300",".266",".345",".507",".373","137","-14.0","","30.8","1001918"
"Lloyd Moseby","- - -","1579","6574","1494","169","869","737","280","9.4 %","17.3 %",".157",".291",".257",".332",".414",".336","106","8.0","","30.6","1009238"
"Dave Henderson","- - -","1434","5459","1275","192","683","677","48","8.2 %","19.7 %",".178",".293",".259",".321",".437",".335","109","39.0","","30.5","1005630"
"Ken Griffey Jr.","Mariners","732","3113","832","132","424","453","77","10.2 %","13.0 %",".217",".313",".303",".375",".520",".388","142","16.0","","30.5","327"
"Mark McGwire","Athletics","938","3834","800","229","520","632","6","14.3 %","18.7 %",".259",".247",".249",".359",".509",".378","141","9.0","","30.1","1008559"
"Von Hayes","- - -","1484","6052","1402","143","767","696","253","11.8 %","13.3 %",".149",".289",".267",".354",".416",".345","114","25.0","","30.0","1005531"
"Bob Boone","- - -","1694","6228","1401","85","524","635","28","8.1 %","7.7 %",".093",".262",".253",".314",".346",".296","81","96.0","","29.9","1001183"
"Mike Scioscia","Dodgers","1414","5057","1131","68","398","446","29","11.2 %","6.1 %",".097",".263",".259",".344",".356",".313","98","38.0","","29.8","1011667"
"Willie McGee","- - -","1583","6565","1832","61","826","685","317","5.4 %","14.4 %",".104",".343",".298",".336",".402",".331","108","-2.0","","29.5","1008513"
"Roberto Alomar","- - -","912","4032","1054","56","548","395","247","9.2 %","10.8 %",".119",".324",".297",".364",".416",".359","124","-1.0","","29.0","860"
"Terry Pendleton","- - -","1399","5759","1446","104","677","717","119","6.4 %","11.5 %",".121",".293",".273",".319",".394",".316","95","99.0","","28.8","1010157"
"Kevin McReynolds","- - -","1447","5838","1393","207","704","786","91","8.6 %","11.5 %",".183",".268",".266",".328",".449",".341","116","4.0","","28.7","1008690"
"Ted Simmons","- - -","1460","5523","1357","166","643","820","14","9.2 %","7.2 %",".164",".269",".275",".342",".439",".341","113","-27.0","","28.6","1011986"
"Rick Dempsey","- - -","1446","4789","970","93","479","436","18","11.2 %","14.2 %",".123",".257",".234",".321",".357",".309","92","60.0","","28.6","1003203"
"Chili Davis","- - -","1739","7145","1677","224","873","930","121","10.9 %","17.1 %",".165",".297",".267",".346",".432",".340","113","-16.0","","28.5","1003041"
"Terry Puhl","- - -","1498","5480","1361","62","676","435","217","9.2 %","9.3 %",".108",".301",".280",".349",".388",".333","114","34.0","","28.5","1010562"
"Scott Fletcher","- - -","1422","5561","1292","30","638","482","90","8.6 %","9.0 %",".079",".287",".264",".334",".343",".308","88","95.0","","28.3","1004155"
"Robby Thompson","Giants","1103","4435","1037","104","572","407","97","8.1 %","18.3 %",".150",".309",".265",".334",".415",".335","113","25.0","","28.1","1013023"
"Graig Nettles","- - -","1469","5350","1160","210","631","722","6","10.8 %","11.7 %",".176",".243",".247",".329",".423",".333","109","4.0","","28.0","1009517"
"Eric Davis","- - -","1042","4142","935","202","646","632","301","12.4 %","22.5 %",".221",".296",".262",".355",".483",".379","137","-48.0","","28.0","1003048"
"Joe Morgan","- - -","1013","4152","865","99","554","428","184","16.6 %","9.2 %",".147",".258",".254",".378",".402",".361","126","-38.0","","28.0","1009179"
"Davey Lopes","- - -","1229","4846","1109","127","665","480","318","11.4 %","11.5 %",".140",".276",".264",".349",".404",".351","120","-41.0","","27.9","1007750"
"Jason Thompson","- - -","1284","5200","1163","191","595","728","6","14.4 %","15.2 %",".179",".281",".265",".369",".444",".363","125","3.0","","27.8","1013014"
"Bobby Bonilla","- - -","1181","4844","1173","169","653","683","35","11.0 %","13.7 %",".197",".291",".277",".356",".474",".359","127","-36.0","","27.6","1001168"
"Ken Griffey","- - -","1697","6533","1723","137","880","706","137","8.5 %","10.9 %",".140",".312",".292",".352",".432",".350","117","-50.0","","27.6","1005044"
"Rafael Palmeiro","- - -","1038","4335","1144","132","587","526","50","8.7 %","9.5 %",".176",".301",".296",".360",".472",".366","128","19.0","","27.5","1266"
"Mickey Tettleton","- - -","1060","4107","821","169","495","516","21","15.8 %","23.1 %",".199",".282",".242",".363",".441",".357","122","-27.0","","27.4","1012939"
"Roy Smalley","- - -","1430","5691","1264","157","662","617","21","11.7 %","13.4 %",".150",".275",".258",".345",".408",".336","105","-10.0","","27.1","1012078"
"Tony Pena","- - -","1703","6375","1536","99","604","633","79","6.4 %","11.8 %",".105",".285",".262",".311",".368",".301","84","54.0","","26.9","1010153"
"Tom Brunansky","- - -","1724","6936","1495","261","780","885","69","10.8 %","16.3 %",".188",".259",".246",".328",".433",".335","104","42.0","","26.8","1001589"
"Howard Johnson","- - -","1345","5240","1148","211","704","698","219","11.8 %","17.8 %",".199",".272",".253",".341",".452",".350","122","-84.0","","26.7","1006462"
"Kevin Mitchell","- - -","986","3866","969","190","525","612","27","9.8 %","15.3 %",".233",".290",".282",".354",".515",".374","139","-31.0","","26.6","1009004"
